sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,7,0.5006004571914673,0.2608755826950073,0.2727010250091553,-0.01182544231414795,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,8,0.46367040276527405,0.24015101790428162,0.2526581883430481,-0.01250717043876648,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,9,0.4299810230731964,0.22609247267246246,0.23178429901599884,-0.005691826343536377,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,10,0.3800897002220154,0.20750057697296143,0.20827391743659973,-0.0007733404636383057,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,11,0.3531925082206726,0.18515059351921082,0.17582307755947113,0.009327515959739685,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,12,0.26868098974227905,0.1584760546684265,0.11853212118148804,0.03994393348693848,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,13,0.15507018566131592,0.10775584727525711,0.047066736966371536,0.060689110308885574,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,14,0.14156895875930786,0.11565791070461273,0.04099881649017334,0.07465909421443939,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,15,0.14000120759010315,0.15807557106018066,0.03256341069936752,0.12551216036081314,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,16,0.15202480554580688,0.20891337096691132,0.03789275139570236,0.17102061957120895,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,17,0.17740826308727264,0.27250832319259644,0.05227908119559288,0.22022924199700356,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,18,0.19765615463256836,0.31672725081443787,0.06928639113903046,0.2474408596754074,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,19,0.22724822163581848,0.39171522855758667,0.0971500352025032,0.29456519335508347,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,20,0.28228557109832764,0.5328078269958496,0.16728785634040833,0.3655199706554413,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,21,0.395927369594574,0.8415719270706177,0.3316555321216583,0.5099163949489594,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,22,0.3700900673866272,0.8184753656387329,0.30619364976882935,0.5122817158699036,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,23,0.38176602125167847,0.8215838670730591,0.3137966990470886,0.5077871680259705,"(1, 577, 1024)"
pair_13_11,pair_13,000000088312,000000002460,access,cupcake,24,0.42949244379997253,0.8297724723815918,0.370068222284317,0.4597042500972748,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,0,0.8474107384681702,0.033806946128606796,0.0019375192932784557,0.03186942683532834,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,1,0.773848831653595,0.13162364065647125,0.1826980710029602,-0.05107443034648895,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,2,0.6947932243347168,0.20243728160858154,0.273486465215683,-0.07104918360710144,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,3,0.6150883436203003,0.23315152525901794,0.35752618312835693,-0.12437465786933899,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,4,0.5964437127113342,0.30642610788345337,0.35544800758361816,-0.049021899700164795,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,5,0.5393651127815247,0.29967987537384033,0.32624155282974243,-0.0265616774559021,"(1, 577, 1024)"
pair_13_12,pair_13,000000000998,000000091969,access,cupcake,6,0.5160537362098694,0.2624991834163666,0.32140982151031494,-0.058910638093948364,"(1, 577, 1024)"
