sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept,layer,R,T,B,G,tensor_shape,M,normalized_target_distance_reduction
pair_05_02,pair_05,000000067436,000000053498,drink,men,2,0.7635469436645508,0.2212283611297607,0.2363848239183426,-0.015156462788581904,"(1, 577, 1024)",-0.54231858253479,-0.019848299592936772
pair_05_02,pair_05,000000067436,000000053498,drink,men,3,0.7214195728302002,0.2367412894964218,0.2654469013214111,-0.02870561182498929,"(1, 577, 1024)",-0.4846782833337784,-0.03907901535862926
pair_05_02,pair_05,000000067436,000000053498,drink,men,4,0.7123212218284607,0.3178038001060486,0.3198285698890686,-0.0020247697830200195,"(1, 577, 1024)",-0.3945174217224121,-0.0029768521484205726
pair_05_02,pair_05,000000067436,000000053498,drink,men,5,0.674687922000885,0.3048436939716339,0.2991166412830353,0.005727052688598633,"(1, 577, 1024)",-0.3698442280292511,0.008171192278102537
pair_05_02,pair_05,000000067436,000000053498,drink,men,6,0.6432708501815796,0.2785419821739197,0.2832702100276947,-0.004728227853775024,"(1, 577, 1024)",-0.3647288680076599,-0.006596946185197248
pair_05_02,pair_05,000000067436,000000053498,drink,men,7,0.6253156065940857,0.2872839570045471,0.2808269560337066,0.00645700097084051,"(1, 577, 1024)",-0.3380316495895386,0.008978369010092014
pair_05_02,pair_05,000000067436,000000053498,drink,men,8,0.5897875428199768,0.2611719965934753,0.2540793716907501,0.007092624902725164,"(1, 577, 1024)",-0.3286155462265015,0.009508551759456967
pair_05_02,pair_05,000000067436,000000053498,drink,men,9,0.5497729778289795,0.2496565282344818,0.231966346502304,0.017690181732177818,"(1, 577, 1024)",-0.3001164495944977,0.023033081495342164
pair_05_02,pair_05,000000067436,000000053498,drink,men,10,0.4853444993495941,0.2402123361825943,0.2161759734153747,0.0240363627672196,"(1, 577, 1024)",-0.24513216316699982,0.03066550903262535
pair_05_02,pair_05,000000067436,000000053498,drink,men,11,0.4318721294403076,0.2331502586603164,0.1836277246475219,0.04952253401279452,"(1, 577, 1024)",-0.1987218707799912,0.06066170484710863
pair_05_02,pair_05,000000067436,000000053498,drink,men,12,0.3416682779788971,0.2049618512392044,0.1294519454240799,0.07550990581512451,"(1, 577, 1024)",-0.1367064267396927,0.08673835455517559
pair_05_02,pair_05,000000067436,000000053498,drink,men,13,0.1970914602279663,0.1454981565475464,0.0534487850964069,0.09204937145113948,"(1, 577, 1024)",-0.05159330368041992,0.09724711141014676
pair_05_02,pair_05,000000067436,000000053498,drink,men,14,0.1735754460096359,0.1844176203012466,0.0501914694905281,0.13422615081071848,"(1, 577, 1024)",0.01084217429161069,0.14131916749444262
pair_05_02,pair_05,000000067436,000000053498,drink,men,15,0.1575709879398346,0.2170731127262115,0.0435607023537159,0.1735124103724956,"(1, 577, 1024)",0.0595021247863769,0.18141497406003174
pair_05_02,pair_05,000000067436,000000053498,drink,men,16,0.1489449441432953,0.2715857923030853,0.0462029837071895,0.22538280859589582,"(1, 577, 1024)",0.12264084815979004,0.23630060143394757
pair_05_02,pair_05,000000067436,000000053498,drink,men,17,0.148617222905159,0.3625696003437042,0.0547833032906055,0.30778629705309873,"(1, 577, 1024)",0.21395237743854523,0.32562511657337684
pair_05_02,pair_05,000000067436,000000053498,drink,men,18,0.1553432792425155,0.4270155131816864,0.0677835196256637,0.3592319935560227,"(1, 577, 1024)",0.2716722339391709,0.3853525453784847
pair_05_02,pair_05,000000067436,000000053498,drink,men,19,0.1840304583311081,0.513460636138916,0.0932935625314712,0.4201670736074448,"(1, 577, 1024)",0.3294301778078079,0.4633992395383523
pair_05_02,pair_05,000000067436,000000053498,drink,men,20,0.2166772633790969,0.6425243616104126,0.138152003288269,0.5043723583221436,"(1, 577, 1024)",0.4258470982313157,0.5852219419741193
pair_05_02,pair_05,000000067436,000000053498,drink,men,21,0.3843196034431457,0.8770527839660645,0.3355322480201721,0.5415205359458923,"(1, 577, 1024)",0.49273318052291876,0.814968874459888
pair_05_02,pair_05,000000067436,000000053498,drink,men,22,0.3428564369678497,0.8612999320030212,0.2911747694015503,0.570125162601471,"(1, 577, 1024)",0.5184434950351715,0.804324025148094
pair_05_02,pair_05,000000067436,000000053498,drink,men,23,0.3533065617084503,0.8672412633895874,0.302839070558548,0.5644021928310394,"(1, 577, 1024)",0.5139347016811371,0.8095723225385342
pair_05_02,pair_05,000000067436,000000053498,drink,men,24,0.4228398203849792,0.8737165927886963,0.3759373128414154,0.4977792799472809,"(1, 577, 1024)",0.4508767724037171,0.7976430736689549
pair_05_03,pair_05,000000086435,000000068750,drink,men,0,0.8689340949058533,0.0744110792875289,0.0802973881363868,-0.005886308848857907,"(1, 577, 1024)",-0.7945230156183244,-0.0064002306538309735
pair_05_03,pair_05,000000086435,000000068750,drink,men,1,0.8151132464408875,0.1412379294633865,0.2211982309818267,-0.07996030151844019,"(1, 577, 1024)",-0.6738753169775009,-0.10267092949627638
pair_05_03,pair_05,000000086435,000000068750,drink,men,2,0.7586050629615784,0.1805316507816314,0.2585939168930053,-0.07806226611137393,"(1, 577, 1024)",-0.578073412179947,-0.10528948694923039
pair_05_03,pair_05,000000086435,000000068750,drink,men,3,0.7144487500190735,0.2056259214878082,0.3400743901729584,-0.13444846868515017,"(1, 577, 1024)",-0.5088228285312653,-0.20373276424351444
pair_05_03,pair_05,000000086435,000000068750,drink,men,4,0.7022926807403564,0.2690433859825134,0.3612039685249328,-0.09216058254241938,"(1, 577, 1024)",-0.433249294757843,-0.14427231542063282
pair_05_03,pair_05,000000086435,000000068750,drink,men,5,0.6739950180053711,0.2689898312091827,0.3425479829311371,-0.0735581517219544,"(1, 577, 1024)",-0.4050051867961884,-0.11188368095652183
pair_05_03,pair_05,000000086435,000000068750,drink,men,6,0.6506074666976929,0.2547644376754761,0.3194032609462738,-0.06463882327079773,"(1, 577, 1024)",-0.3958430290222168,-0.09497374812678194
pair_05_03,pair_05,000000086435,000000068750,drink,men,7,0.630784273147583,0.2589563727378845,0.2931115627288818,-0.03415518999099726,"(1, 577, 1024)",-0.3718279004096985,-0.04831765267352572
pair_05_03,pair_05,000000086435,000000068750,drink,men,8,0.5874333381652832,0.2339186072349548,0.2578186392784118,-0.023900032043457003,"(1, 577, 1024)",-0.35351473093032837,-0.03220241481168447
