layer_i,layer_j,block_i,block_j,source,adversarial,target,delta_adv_minus_source
16,21,middle,deep,0.5437487363815308,0.3812070190906524,0.5389692783355713,-0.16254171729087835
16,22,middle,deep,0.5981946587562561,0.4249646663665771,0.5926029682159424,-0.173229992389679
16,23,middle,deep,0.6209156513214111,0.4442750811576843,0.6186613440513611,-0.1766405701637268
16,24,middle,deep,0.6272581219673157,0.4516457915306091,0.6231805086135864,-0.1756123304367066
17,18,deep,deep,0.9780261516571044,0.9551348686218262,0.9757820963859558,-0.02289128303527821
17,19,deep,deep,0.952576756477356,0.9038509130477904,0.9449245929718018,-0.04872584342956554
17,20,deep,deep,0.8420347571372986,0.7633529901504517,0.8489238023757935,-0.07868176698684692
17,21,deep,deep,0.5704236030578613,0.4346625804901123,0.5502331256866455,-0.13576102256774902
17,22,deep,deep,0.6240893602371216,0.4864400923252105,0.6073906421661377,-0.13764926791191107
17,23,deep,deep,0.6495984792709351,0.5085636973381042,0.6351870894432068,-0.1410347819328308
17,24,deep,deep,0.6555191874504089,0.5184504985809326,0.6394269466400146,-0.13706868886947632
18,19,deep,deep,0.9750843644142152,0.9485517740249634,0.9738340377807616,-0.02653259038925182
18,20,deep,deep,0.8715814352035522,0.8151920437812805,0.8752585649490356,-0.05638939142227173
18,21,deep,deep,0.5965049266815186,0.45632204413414,0.5452249646186829,-0.14018288254737854
18,22,deep,deep,0.6514423489570618,0.5136457681655884,0.6066724061965942,-0.1377965807914734
18,23,deep,deep,0.6763817667961121,0.5368692874908447,0.6365044713020325,-0.13951247930526733
18,24,deep,deep,0.6815625429153442,0.5460125803947449,0.6407410502433777,-0.13554996252059937
19,20,deep,deep,0.9071829319000244,0.895348072052002,0.913477659225464,-0.011834859848022461
19,21,deep,deep,0.6229910850524902,0.5297346711158752,0.5777998566627502,-0.09325641393661499
19,22,deep,deep,0.6759840846061707,0.5897804498672485,0.6363760232925415,-0.08620363473892212
19,23,deep,deep,0.7039942145347595,0.61761075258255,0.666854977607727,-0.08638346195220947
19,24,deep,deep,0.7094524502754211,0.6276288628578186,0.6707991361618042,-0.08182358741760254
20,21,deep,deep,0.8279449939727783,0.7098608016967773,0.7624112367630005,-0.11808419227600098
20,22,deep,deep,0.8694270849227905,0.778097927570343,0.8158850073814392,-0.09132915735244751
20,23,deep,deep,0.8894734382629395,0.8018490672111511,0.8407410383224487,-0.08762437105178833
20,24,deep,deep,0.8924961090087891,0.809149444103241,0.8433379530906677,-0.0833466649055481
21,22,deep,deep,0.9827221035957336,0.9765906929969788,0.9794527888298036,-0.006131410598754883
21,23,deep,deep,0.980065941810608,0.9706084728240968,0.9761085510253906,-0.00945746898651123
21,24,deep,deep,0.975802481174469,0.9639006853103638,0.9713738560676576,-0.011901795864105225
22,23,deep,deep,0.9921316504478456,0.9868375658988952,0.987289547920227,-0.005294084548950417
22,24,deep,deep,0.9898388981819152,0.9830883145332336,0.985075056552887,-0.00675058364868153
23,24,deep,deep,0.9977160096168518,0.996052622795105,0.9964371919631958,-0.0016633868217468262
